ref,срещания,белег,църковнославянски (мерен),bg — ПОПРАВИ ТУК,целият стих
Ps.24:1,1,НЕ Е ПРЕНЕСЕНО,"Къ тебѣ̀, гдⷭ҇и, воздвиго́хъ дꙋ́шꙋ мою̀, бж҃е мо́й, на тѧ̀ ᲂу҆пова́хъ, да не постыжꙋ́сѧ во вѣ́къ",,"Към Тебе, Господи, въздигам душата си."
Ps.101:3,1,,"во́ньже а҆́ще де́нь скорблю̀, приклонѝ ко мнѣ̀ ᲂу҆́хо твоѐ: во́ньже а҆́ще де́нь призовꙋ́ тѧ, ско́рѡ ᲂу҆слы́ши мѧ̀."," в деня на скръбта ми приклони ухо към мене; в деня, (кога) въззова (към Тебе), бърже ме послушай;","Не скривай лицето Си от мене; в деня на скръбта ми приклони ухо към мене; в деня, (кога) въззова (към Тебе), бърже ме послушай;"
Ps.44:2,1,,Ѿры́гнꙋ се́рдце моѐ сло́во бла́го,Из сърцето ми се изля блага дума;,Из сърцето ми се изля блага дума; аз говоря; моята песен е за Царя; езикът ми е перо на бързописец.
Ps.44:2,1,,глаго́лю а҆́зъ дѣла̀ моѧ̑ цр҃е́ви, аз говоря; моята песен е за Царя;,Из сърцето ми се изля блага дума; аз говоря; моята песен е за Царя; езикът ми е перо на бързописец.
Ps.92:1,1,,"Гдⷭ҇ь воцр҃и́сѧ, въ лѣ́потꙋ ѡ҆блече́сѧ: ѡ҆блече́сѧ гдⷭ҇ь въ си́лꙋ и҆ препоѧ́сасѧ","Господ царува; Той е облечен с величие, облечен е Господ с могъщество (и) препасан:","Господ царува; Той е облечен с величие, облечен е Господ с могъщество (и) препасан: затова вселената е утвърдена и няма да се поклати."
Ps.64:11,1,,въ ка́плѧхъ є҆ѧ̀ возвесели́тсѧ возсїѧ́ющи," омекчаваш я с дъждовни капки,","напояваш браздите й, уравняваш буците й, омекчаваш я с дъждовни капки, благославяш нейните израсляци;"
Ps.68:3,1,,"Оу҆глѣбо́хъ въ тимѣ́нїи глꙋбины̀, и҆ нѣ́сть постоѧ́нїѧ","Затънах в дълбоко блато, и няма на що да застана;","Затънах в дълбоко блато, и няма на що да застана; влязох в дълбочината на водите, и бързото им течение ме отвлича."
Ps.68:16,1,,"Да не потопи́тъ менѐ бꙋ́рѧ водна́ѧ, нижѐ да пожре́тъ менѐ глꙋбина̀","да ме не завлече водното течение, да ме не погълне бездната,","да ме не завлече водното течение, да ме не погълне бездната, да не затвори над мене пропастта своите уста."
Ps.68:18,1,,Не ѿвратѝ лица̀ твоегѡ̀ ѿ ѻ҆́трока твоегѡ̀,"не скривай лицето Си от Твоя раб,","не скривай лицето Си от Твоя раб, защото скърбя; скоро ме чуй;"
Ps.23:8,1,,"гдⷭ҇ь крѣ́покъ и҆ си́ленъ, гдⷭ҇ь си́ленъ въ бра́ни."," - Крепкият и силният Господ, силният на война Господ.","Кой е тоя Цар на славата? - Крепкият и силният Господ, силният на война Господ."
Ps.54:9,1,НЕ Е ПРЕНЕСЕНО,Ча́ѧхъ бг҃а сп҃са́ющагѡ мѧ̀,,побързал бих да се скрия от вятъра и бурята.
Ps.121:6,1,,Вопроси́те же ꙗ҆̀же ѡ҆ ми́рѣ і҆ерⷭ҇ли́ма,"Искайте мир за Иерусалим: да добруват ония,","Искайте мир за Иерусалим: да добруват ония, които те обичат!"
